"part_number","revision","description","make_buy","manufacturer","cad_classification","occurrence_quantity","mass_each_kg","material","source_url","notes"
"LELAND-81121","A","LELAND 81121 12 G CO2 CARTRIDGE","BUY","Leland Gas Technologies","DRAWING_DERIVED","4","0.045","Steel pressure cartridge","https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas","Incoming acceptance: 12 g CO2, 0.735 in body diameter, 3.250 in overall length, 3/8-24 neck, lot traceability and CoC; occurrence-matched puncture-head thread and pre-puncture clearance are inspected."
"ROTOR-CLIP-DC-4SS","A","ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT","BUY","Rotor Clip","DRAWING_DERIVED","10","2.94216E-05","PH 15-7 Mo stainless spring steel","https://www.rotorclip.com/product/dc-4/","Explicit occurrence mass is the 3.7479745 mm3 authored envelope at 7.85e-6 kg/mm3; incoming lot mass and material are verified."
"SS-CHS2-1","CATALOG","SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG","BUY","Swagelok","DRAWING_DERIVED","3","0.025","316 stainless purchased check-valve assembly","https://products.swagelok.com/en/c/fixed-pressure/p/SS-CHS2-1","Exact SS-CHS2-1 procurement identity; 316 SS poppet check valve with 1/8-in tube fittings and 6000 psig/413 bar catalog rating. The compact analytic exterior is a controlled installation BREP; incoming identity, rating, cracking direction and leak test are verified."
"SSCA-M3-8-A4-BL","ACCU-CATALOG","M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912","BUY","Accu","DRAWING_DERIVED","26","0.0008","A4-80 stainless steel","https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 80 g per 100; 2.2 mm captive diameter x 5 mm captive length and 3 mm M3 threaded end."
"SSCF-M3-10-A4","ACCU-CATALOG","M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","BUY","Accu","DRAWING_DERIVED","14","0.00088","A4-80 stainless steel","https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 88 g per 100; M3 x 0.5, 5.5 mm head diameter, 3.0 mm head height."
"SSCF-M3-6-A4","ACCU-CATALOG","M3 X 6 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","BUY","Accu","DRAWING_DERIVED","4","0.00071","A4-80 stainless steel","https://www.accu.co.uk/metric-cap-head-screws/3973-SSCF-M3-6-A4","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 71 g per 100; M3 x 0.5, 5.5 mm head diameter, 3.0 mm head height."
"SSCL-M4-8-A4","ACCU-CATALOG","M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984","BUY","Accu","DRAWING_DERIVED","1","0.00112","A4-80 stainless steel","https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 112 g per 100; M4 x 0.7, 7.0 mm head diameter, 2.8 mm head height."
"SSK-M3-6-A4-P80","ACCU-CATALOG","M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80","BUY","Accu","DRAWING_DERIVED","10","0.00036","A4-80 stainless steel","https://www.accu.co.uk/countersunk-socket-head-screws/795226-SSK-M3-6-A4-P80","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 36 g per 100; 90 degree head, 6.72 mm nominal head diameter, 1.86 mm countersunk length."
"V80040","A","HALKEY-ROBERTS WATER-SENSITIVE BOBBIN","BUY","Nordson MEDICAL / Halkey-Roberts","DRAWING_DERIVED","1","0.00169646","Water-sensitive media","https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-V80040-Bobbin-Instructions-For-Use.pdf","Exact V80040 identity; controlled incoming inspection verifies the 10 mm diameter by 18 mm modeled service envelope, lot traceability, and current Nordson/Halkey-Roberts IFU revision."
"VSM-8-S16","DEVELOPMENTAL","SMALLEY VSM-8-S16 316 STAINLESS SPIROLOX RING — DIMENSIONAL COTS PROXY — NOT EXACT VENDOR CAD","BUY","Smalley","DIMENSIONAL_COTS_PROXY_NOT_EXACT_VENDOR_CAD","3","4.594470992936274E-05","316 stainless spring steel","https://www.smalley.com/ring/vsm-8","ENGINEERING-ACCEPTED — PROCUREMENT CONFIRMATION PENDING. Published ring shear 3183 N and groove yield 780 N support the bounded retainer function; submerged service, reuse and delivered certificates remain PROCUREMENT / RECEIVING GATE — NOT A CAD BLOCKER."
"WP04-AFT-RAIL-SUPPORT-R2","A","ONE-PIECE AFT GUIDE-RAIL SUPPORT RING WITH THREE M3 THREADS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.009104494553231311","Ti-6Al-4V","",""
"WP04-FIXED-GUIDE-SLEEVE-R2","C","BULKHEAD-MOUNTED FIXED TELESCOPING SPRING GUIDE AND SEAT","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.004756942733238636","PEEK","",""
"WP04-FOL-001-R2","A","CAPTIVE PEEK FOLLOWER WITH THREE GUIDE SLOTS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.005580906526629483","PEEK","",""
"WP04-GUIDE-RAIL-001-R2","C","FOLLOWER ANTI-ROTATION GUIDE RAIL WITH TWO M3 CAPTIVE-SCREW END LANDS","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.003799345544954796","PEEK","",""
"WP04-HST-001-R2","A","HARNESS STRUCTURAL TERMINAL WITH FOUR WEB SLOTS AND DOUBLE-SHEAR CLEVIS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.015609223844122947","17-4PH stainless steel","",""
"WP04-LATCH-HOUSING-R2","A","RADIAL FOLLOWER LATCH HOUSING WITH REAMED SEAR GUIDE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.005495645371187142","17-4PH stainless steel","",""
"WP04-LATCH-SEAR-E-RING-R2","A","4 MM SEAR PIN EXTERNAL RETAINING RING","MAKE","STINGRAY custom","DRAWING_DERIVED","1","4.345508650541629E-05","1.4310 stainless spring steel","",""
"WP04-LATCH-SEAR-R2","A","CAPTIVE RADIAL FOLLOWER SEAR PLUNGER WITH RETAINING RING","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0006351083567453917","17-4PH stainless steel","",""
"WP04-LATCH-SUPPORT-R2","A","GUIDE-RAIL-3 TO LATCH TWO-SCREW SUPPORT BLADE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0012552039176702944","17-4PH stainless steel","",""
"WP04-MOVING-GUIDE-SLEEVE-R2","C","FOLLOWER-MOUNTED INNER TELESCOPING SPRING GUIDE SLEEVE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.006847632557480384","PEEK","",""
"WP04-RB-001-R2","B","SPRING REACTION BULKHEAD WITH GUIDE-RAIL BORES AND PERMANENT SHELL LAND","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.041170115597212516","Ti-6Al-4V","",""
"WP04-RHP-001-R2","A","INTEGRAL STRUCTURAL RING AND RECOVERY HARDPOINT LUG","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.025434396305878713","Ti-6Al-4V","",""
"WP05-DOOR-LANYARD-R2","A","CAPTIVE DOOR LANYARD WITH SWAGED EYES","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.002","HMPE rope","",""
"WP05-DOOR-R2","A","CAPTIVE LOW-FORCE AFT DOOR WITH HINGE AND LANYARD EYE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.023848407511828335","Ti-6Al-4V","",""
"WP05-HINGE-CRESCENT-RING-R2","A","3 MM HINGE-PIN EXTERNAL CRESCENT RETAINER","MAKE","STINGRAY custom","DRAWING_DERIVED","1","3.0979522731959405E-05","1.4310 stainless spring steel","",""
"WP05-HINGE-PIN-R2","B","DOOR HINGE PIN WITH EXTERNAL RETAINER","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0009663612633520023","17-4PH stainless steel","",""
"WP05-SERVICE-THROAT-R2","A","AFT SERVICE THROAT WITH CONTROLLED DETENT BORES","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.1892075418113727","Ti-6Al-4V","",""
