"part_number","description","make_buy_baseline","manufacturer","material","classification","source_package","source_item_number","make_buy_source","functional_role_category","proposed_substitution_mpn","proposed_vendor","decision","decision_rationale","catalog_fit_verified","procurement_ready","primary_url","recorded_at_utc"
"DF8-FINAL-GAS-MAIN-001","COMPLETE TERMINATED GAS MAIN ASSEMBLY","MAKE","STINGRAY controlled route assembly","ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-PILOT-LINE-001","COMPLETE TERMINATED PILOT LINE ASSEMBLY","MAKE","STINGRAY controlled route assembly","ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-BOWDEN-SHEATH-001","COMPLETE TERMINATED BOWDEN SHEATH ASSEMBLY","MAKE","STINGRAY controlled route assembly","PTFE liner / 316 stainless spiral-and-overbraid composite / 316 swaged terminal sleeves","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-BOWDEN-WIRE-001","COMPLETE TERMINATED BOWDEN WIRE ASSEMBLY","MAKE","STINGRAY controlled route assembly","0.60 mm 1x19 cold-worked 316 stainless wire with 316 swaged terminal barrels","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-GAS-MAIN-RING-GLAND","GAS MAIN TWO-COLLAR BULKHEAD GLAND","MAKE","STINGRAY controlled micro-fitting drawing","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-PILOT-LINE-RING-GLAND","PILOT LINE TWO-COLLAR BULKHEAD GLAND","MAKE","STINGRAY controlled micro-fitting drawing","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-BOWDEN-SHEATH-RING-GLAND","BOWDEN SHEATH TWO-COLLAR BULKHEAD GLAND","MAKE","STINGRAY controlled micro-fitting drawing","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER","SPLIT PEEK GUIDE LINER FOR GAS MAIN LONG SPAN","MAKE","STINGRAY controlled guide-liner drawing","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER","SPLIT PEEK GUIDE LINER FOR PILOT LINE LONG SPAN","MAKE","STINGRAY controlled guide-liner drawing","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER","SPLIT PEEK GUIDE LINER FOR BOWDEN SHEATH LONG SPAN","MAKE","STINGRAY controlled guide-liner drawing","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-WP04-FULLFLOW-MANIFOLD","WP04 FULL-FLOW TERMINAL MANIFOLD WITH BRAZED GAS PORT","MAKE","STINGRAY controlled manifold drawing","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-WP04-MANIFOLD-BRACKET","WP04 FULL-FLOW MANIFOLD RADIAL SUPPORT BRACKET","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-AFT-SHELL-001","AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES","MAKE","STINGRAY custom","Ti-3Al-2.5V Grade 9","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-AFT-ROUTE-RING-001","AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-AFT-LONGERON-001","AFT PRIMARY LOAD-PATH LONGERON","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-RB-001-R2","SPRING REACTION BULKHEAD WITH GUIDE-RAIL BORES AND PERMANENT SHELL LAND","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-GUIDE-RAIL-001-R2","FOLLOWER ANTI-ROTATION GUIDE RAIL WITH TWO M3 CAPTIVE-SCREW END LANDS","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-FOL-001-R2","CAPTIVE PEEK FOLLOWER WITH THREE GUIDE SLOTS","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-WP04-EJECTOR-SPRING-001","CONTROLLED LONG-STROKE GUIDED EJECTOR SPRING","MAKE","STINGRAY controlled spring drawing","EN 10270-3 1.4310 stainless spring wire, 2.00 mm","CUSTOM_REMAINDER","","","MAKE","","VD-244","Gutekunst Federn","REJECT_RETURN_TO_CUSTOM_BASELINE","C-012 manufacturer dynamic stroke is 31.82 mm versus 85 mm required; clean baseline explicitly records VD-244 as unsuitable.","NO - FUNCTIONAL DUTY FAIL","NO","https://www.federnshop.com/en/products/compression_springs/vd-244.html","2026-08-24T13:47:00Z"
"WP04-FIXED-GUIDE-SLEEVE-R2","BULKHEAD-MOUNTED FIXED TELESCOPING SPRING GUIDE AND SEAT","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-MOVING-GUIDE-SLEEVE-R2","FOLLOWER-MOUNTED INNER TELESCOPING SPRING GUIDE SLEEVE","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-LATCH-HOUSING-R2","RADIAL FOLLOWER LATCH HOUSING WITH REAMED SEAR GUIDE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-LATCH-SEAR-R2","CAPTIVE RADIAL FOLLOWER SEAR PLUNGER WITH RETAINING RING","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-LATCH-SEAR-E-RING-R2","4 MM SEAR PIN EXTERNAL RETAINING RING","MAKE","STINGRAY custom","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","DC-4SS","Rotor Clip","REJECT_RETURN_TO_CUSTOM_BASELINE","DC-4SS sear reuse required a groove change that interfered with the Bowden path; custom sear ring and baseline groove retained.","NO - BOWDEN INTERFERENCE","NO","https://www.rotorclip.com/product/dc-4/","2026-08-24T13:47:00Z"
"WP04-RHP-001-R2","INTEGRAL STRUCTURAL RING AND RECOVERY HARDPOINT LUG","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP05-SERVICE-THROAT-R2","AFT SERVICE THROAT WITH CONTROLLED DETENT BORES","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP05-DOOR-R2","CAPTIVE LOW-FORCE AFT DOOR WITH HINGE AND LANYARD EYE","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP05-HINGE-PIN-R2","DOOR HINGE PIN WITH EXTERNAL RETAINER","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP05-HINGE-CRESCENT-RING-R2","3 MM HINGE-PIN EXTERNAL CRESCENT RETAINER","MAKE","STINGRAY custom","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"GN-615.3-M3-KN-PFB","JW WINCO M3 STAINLESS BALL PLUNGER","BUY","JW Winco / Ganter","AISI 303 housing / hardened AISI 420C ball / AISI 631 spring / PFB polyamide patch","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Spring-plungers/GN-615.3-Steel-Stainless-Steel-Ball-Plungers-with-thread-locking-with-ball-with-internal-hexagon","2026-08-23T20:42:05Z"
"DF8-R2-BUOY-GORE-01","60 L BUOY GORE 1 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-02","60 L BUOY GORE 2 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-03","60 L BUOY GORE 3 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-04","60 L BUOY GORE 4 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-05","60 L BUOY GORE 5 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-06","60 L BUOY GORE 6 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-07","60 L BUOY GORE 7 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-BUOY-GORE-08","60 L BUOY GORE 8 OF 8","MAKE","STINGRAY custom","TPU-coated nylon","CUSTOM_REMAINDER","","","MAKE","","87640_OLV_ONE","HIKO Sport","REJECT_RETURN_TO_CUSTOM_BASELINE","Published HIKO data do not define the required geometry and the dimensional proxy/interface route interfered with preserved DF8 geometry; custom buoy retained.","NO - INSUFFICIENT CAD EVIDENCE / PROXY INTERFERENCE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://hikosport.com/en-eu/products/floatek-full-tail","2026-08-24T13:47:00Z"
"DF8-R2-HARNESS-BAND-1","X-6292 STRUCTURAL HARNESS CLOSED BAND 1","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","UHMWPE webbing","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","2026-08-23T20:42:05Z"
"DF8-R2-HARNESS-BAND-2","X-6292 STRUCTURAL HARNESS CLOSED BAND 2","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","UHMWPE webbing","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","2026-08-23T20:42:05Z"
"WP04-HST-001-R2","HARNESS STRUCTURAL TERMINAL WITH FOUR WEB SLOTS AND DOUBLE-SHEAR CLEVIS","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-HARNESS-LEG-XP","X-6292 TERMINAL HARNESS LEG XP","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","UHMWPE webbing","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","2026-08-23T20:42:05Z"
"DF8-R2-HARNESS-LEG-XN","X-6292 TERMINAL HARNESS LEG XN","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","UHMWPE webbing","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","2026-08-23T20:42:05Z"
"DF8-R2-HARNESS-LEG-YP","X-6292 TERMINAL HARNESS LEG YP","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","UHMWPE webbing","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","2026-08-23T20:42:05Z"
"DF8-R2-HARNESS-LEG-YN","X-6292 TERMINAL HARNESS LEG YN","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","UHMWPE webbing","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","2026-08-23T20:42:05Z"
"DF8-R2-TETHER-THIMBLE-001","AMSTEEL EYE-SPLICE THIMBLE","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"AMSTEEL-BLUE-872-7-64-R2","STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES","MAKE","Samson Rope Technologies raw line / STINGRAY finished splices","HMPE rope","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","https://www.samsonrope.com/mooring/amsteel--blue","2026-08-23T20:42:05Z"
"DF8-R2-RECOVERY-PIN-006","6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-RECOVERY-E-RING-006","6 MM RECOVERY PIN EXTERNAL RETAINER","MAKE","STINGRAY custom","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP05-DOOR-LANYARD-R2","CAPTIVE DOOR LANYARD WITH SWAGED EYES","MAKE","STINGRAY custom","HMPE rope","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-AFT-RAIL-SUPPORT-R2","ONE-PIECE AFT GUIDE-RAIL SUPPORT RING WITH THREE M3 THREADS","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"WP04-LATCH-SUPPORT-R2","GUIDE-RAIL-3 TO LATCH TWO-SCREW SUPPORT BLADE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
