part_number,physical_title,description,revision,make_buy,manufacturer,quantity_stowed,quantity_deployed,material,finish,mass_each_kg,cad_classification,source_url,purchase_url,process,notes,verification_status
DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,BALLAST-AFT-FACE_TO_ARM-CARRIER_STRUCTURAL_TRANSITION_RING_TI,BALLAST-AFT-FACE TO ARM-CARRIER STRUCTURAL TRANSITION RING,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.025715400129644583,EXACT_ANALYTIC,,,"Mill-turn; machine six occurrence-matched carrier weld lands, twelve source-derived stop-hardware reliefs, and three continuous bounded root/stop motion corridors; CMM inspect ballast-face and pivot datums",FORWARD_BALLAST_AFT_FACE is the exact BALLAST-001 planar face at Z=336.000 mm; ring spans Z=336.000..344.000 mm. Continuous corridors conservatively contain the exact source-derived 5-degree probe envelope from 0..55 degrees; the independent 1-degree motion gate remains the acceptance authority.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-INLET-MANIFOLD-001,BUOY-MOUNTED_INLET_MANIFOLD_WITH_INFLATOR_THREAD_INTERFACE_SS,BUOY-MOUNTED INLET MANIFOLD WITH INFLATOR THREAD INTERFACE,A,MAKE,STINGRAY custom,1,1,316 stainless steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,0.004987341169426868,EXACT_ANALYTIC,,,Swiss turn; passivate; RF-patch clamp and leak proof; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,BUOY_INLET_RF-WELDED_REINFORCEMENT_PATCH_TPU,BUOY INLET RF-WELDED REINFORCEMENT PATCH,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon laminate,Clean RF-welded membrane; trimmed sealed edges,0.026,EXACT_ANALYTIC,,,"Multi-ply RF weld; leak proof and pull proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-01,60_L_BUOY_PANEL_01_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 01 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-02,60_L_BUOY_PANEL_02_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 02 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-03,60_L_BUOY_PANEL_03_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 03 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-04,60_L_BUOY_PANEL_04_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 04 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-05,60_L_BUOY_PANEL_05_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 05 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-06,60_L_BUOY_PANEL_06_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 06 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-07,60_L_BUOY_PANEL_07_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 07 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BUOY-PANEL-08,60_L_BUOY_PANEL_08_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,60 L BUOY PANEL 08 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,A,MAKE,STINGRAY custom,1,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,0.02375,EXACT_ANALYTIC,,,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_LEFT,CORDURA PEEL-OPEN BREAKAWAY FLAP LEFT,A,MAKE,STINGRAY custom,1,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,0.065,EXACT_ANALYTIC,,,Pattern cut; reinforced bound edges; peel-oriented hook-and-loop sewing; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,"Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_RIGHT,CORDURA PEEL-OPEN BREAKAWAY FLAP RIGHT,A,MAKE,STINGRAY custom,1,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,0.065,EXACT_ANALYTIC,,,Pattern cut; reinforced bound edges; peel-oriented hook-and-loop sewing; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,"Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-CORDURA-CRADLE-LEFT-001,AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_LEFT_PANEL_WITH_DRAINAGE_GAPS,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE LEFT PANEL WITH DRAINAGE GAPS,A,MAKE,STINGRAY custom,1,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,0.0575,EXACT_ANALYTIC,,,Pattern cut; bound radiused edges; controlled seam allowance and bar-tacks; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_RIGHT_PANEL_WITH_DRAINAGE_GAPS,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE RIGHT PANEL WITH DRAINAGE GAPS,A,MAKE,STINGRAY custom,1,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,0.0575,EXACT_ANALYTIC,,,Pattern cut; bound radiused edges; controlled seam allowance and bar-tacks; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-CROSSHEAD-001,ONE-PIECE_SIX-CLEVIS_GUIDED_COMMON_CROSSHEAD_WITHOUT_BOOLEAN_DEBRIS_SS,ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD WITHOUT BOOLEAN DEBRIS,A,MAKE,STINGRAY custom,1,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.01232918785989715,EXACT_ANALYTIC,,,5-axis mill-turn from one billet; H900; hone; CMM inspect all six clevis interfaces,Source interface datums retained; two sub-1 mm3 Boolean-debris solids removed and retained cheeks joined inside the source envelope.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-FIXED-SECTOR-001,SHORTENED_ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI,SHORTENED ANALYTIC CYLINDRICAL FIXED BODY SECTOR,A,MAKE,STINGRAY custom,2,2,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.17781369911265105,EXACT_ANALYTIC,,,Hot form and 5-axis trim; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-HOOK-STRIP-001,WET-RATED_HOOK_CLOSURE_STRIP,WET-RATED HOOK CLOSURE STRIP,A,MAKE,STINGRAY custom,1,1,Nylon hook-and-loop,Per controlled drawing,0.012,EXACT_ANALYTIC,,,Sew to reinforced flap with peel-axis orientation; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-INFLATOR-GUARD-001,INFLATOR_IMPACT_GUARD_WITH_OPEN_WATER_PATH_TI,INFLATOR IMPACT GUARD WITH OPEN WATER PATH,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.055,EXACT_ANALYTIC,,,Wire form/machine; rounded edges; patch-mounted proof; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-LOOP-STRIP-001,WET-RATED_LOOP_CLOSURE_STRIP,WET-RATED LOOP CLOSURE STRIP,A,MAKE,STINGRAY custom,1,1,Nylon hook-and-loop,Per controlled drawing,0.012,EXACT_ANALYTIC,,,Sew to reinforced flap with bounded 16-degree overlap; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-MANUAL-PULL-LANYARD-001,MANUAL_INFLATOR_PULL_LANYARD_WITH_MODELED_SLACK_AND_FIRED_TRAVEL_HMPE,MANUAL INFLATOR PULL LANYARD WITH MODELED SLACK AND FIRED TRAVEL,A,MAKE,STINGRAY custom,1,1,HMPE cord,"Chafe-protected, heat-sealed and clean",0.008,EXACT_ANALYTIC,,,Eye splice; controlled finished length; 445 N pull proof; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,Modeled slack 18.0 mm; required unobstructed fired travel 25.0 mm.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-MANUAL-PULL-TAB-001,GLOVED-HAND_MANUAL_PULL_TAB_WITH_SNAG-RETENTION_KEEPER_TPU,GLOVED-HAND MANUAL PULL TAB WITH SNAG-RETENTION KEEPER,A,MAKE,STINGRAY custom,1,1,TPU overmold on HMPE webbing,"Chafe-protected, heat-sealed and clean",0.018,EXACT_ANALYTIC,,,Overmold; high-visibility marking; gloved pull and snag test; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,LOW-PROFILE_PACK_ATTACHMENT_COLLAR_WITHIN_57.15_MM_RIGID_LIMIT_TI,LOW-PROFILE PACK ATTACHMENT COLLAR WITHIN 57.15 MM RIGID LIMIT,A,MAKE,STINGRAY custom,2,2,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.005333788153283115,EXACT_ANALYTIC,,,Split-ring machine; qualified shell attachment; proof load pack retention; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,STRUCTURAL_PACK-RETENTION_WEBBING_STRAP_HMPE,STRUCTURAL PACK-RETENTION WEBBING STRAP,A,MAKE,STINGRAY custom,2,2,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.028,EXACT_ANALYTIC,,,Closed-loop stitch; two-place collar lacing; pack retention proof; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,Retains pack only and is excluded from the recovery load path.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-EDGE-BAND-001,REINFORCED_PACK_EDGE_BINDING_HMPE,REINFORCED PACK EDGE BINDING,A,MAKE,STINGRAY custom,2,2,Cordura binding and HMPE webbing,"Chafe-protected, heat-sealed and clean",0.02,EXACT_ANALYTIC,,,Bound edge; continuous stitch and bar-tack termination; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-RADIAL-TIE-1-1,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,A,MAKE,STINGRAY custom,1,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.004,EXACT_ANALYTIC,,,Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-RADIAL-TIE-1-2,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_02,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,A,MAKE,STINGRAY custom,1,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.004,EXACT_ANALYTIC,,,Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-RADIAL-TIE-1-3,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_03,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,A,MAKE,STINGRAY custom,1,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.004,EXACT_ANALYTIC,,,Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-RADIAL-TIE-2-1,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_04,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,A,MAKE,STINGRAY custom,1,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.004,EXACT_ANALYTIC,,,Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-RADIAL-TIE-2-2,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_05,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,A,MAKE,STINGRAY custom,1,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.004,EXACT_ANALYTIC,,,Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PACK-RADIAL-TIE-2-3,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_06,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,A,MAKE,STINGRAY custom,1,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",0.004,EXACT_ANALYTIC,,,Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,SOURCE-EXACT_DOUBLE-SHEAR_PIVOT_CARRIER_PRIMARY_LUG_TI,SOURCE-EXACT DOUBLE-SHEAR PIVOT CARRIER PRIMARY LUG,B,MAKE,STINGRAY custom,3,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.0013538421744136802,EXACT_ANALYTIC,,,5-axis mill; ream pivot; machine stop-land bore; weld to transition-ring land; CMM inspect,Exact source negative-Y lug and all source bores retained; no bridge material crosses the deployed-arm or stop-pad motion path.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,SOURCE-EXACT_DOUBLE-SHEAR_PIVOT_CARRIER_SECONDARY_LUG_TI,SOURCE-EXACT DOUBLE-SHEAR PIVOT CARRIER SECONDARY LUG,B,MAKE,STINGRAY custom,3,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.0013531087490951286,EXACT_ANALYTIC,,,5-axis mill; ream pivot; machine stop-land bore; weld to transition-ring land; CMM inspect,Exact source positive-Y lug and all source bores retained; the two carrier lugs are structurally tied by the transition ring and retained pivot pin.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-PULL-TAB-KEEPER-001,LOW-FORCE_PULL-TAB_SNAG_KEEPER,LOW-FORCE PULL-TAB SNAG KEEPER,A,MAKE,STINGRAY custom,1,1,Cordura and low-force hook-and-loop,Per controlled drawing,0.01,EXACT_ANALYTIC,,,Bound frame; calibrated breakaway stitch; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-RECOVERY-HARDPOINT-RING-001,LOW-PROFILE_STRUCTURAL_RECOVERY_HARDPOINT_RING_WITH_DOUBLE-SHEAR_YOKE_TI,LOW-PROFILE STRUCTURAL RECOVERY HARDPOINT RING WITH DOUBLE-SHEAR YOKE,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.03021004481956056,EXACT_ANALYTIC,,,5-axis mill from forged ring; ream yoke; weld to shell and three longerons; proof load; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,"Ultimate recovery load bypasses Cordura, hook-and-loop, pack seams and inflator patch.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-STOW-DOG-GUIDE-001,SHORTENED-ARM_STOW-DOG_GUIDE_WITH_TERMINATION-RING_WELD_TONGUE_SS,SHORTENED-ARM STOW-DOG GUIDE WITH TERMINATION-RING WELD TONGUE,A,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.000530677401823469,EXACT_ANALYTIC,,,5-axis mill; qualified permanent weld to termination-ring land,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-TETHER-EXIT-CHAFE-SLEEVE-001,STRUCTURAL_TETHER_EXIT_CHAFE_SLEEVE_TPU,STRUCTURAL TETHER EXIT CHAFE SLEEVE,A,MAKE,STINGRAY custom,1,1,TPU-coated HMPE tubular webbing,"Chafe-protected, heat-sealed and clean",0.012,EXACT_ANALYTIC,,,Cut to controlled length; capture at body thimble; abrasion and wet-cycling proof; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,Replaceable sleeve guards the HMPE line at the rounded shell exit; it does not carry the ultimate recovery load.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-WATER-ENTRY-MESH-001,REINFORCED_OPEN-MESH_WATER-ENTRY_WINDOW_AND_DRAIN,REINFORCED OPEN-MESH WATER-ENTRY WINDOW AND DRAIN,A,MAKE,STINGRAY custom,1,1,Polyester open mesh with Cordura frame,Per controlled drawing,0.012,EXACT_ANALYTIC,,,Laser cut frame; bind mesh; stitch to window perimeter; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,Direct open area exposes the automatic water-sensitive element while the wrap remains closed.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
GS-19-50-V4A-B8-B8,ACE_Gas_Spring_GS-19-50-V4A-B8-B8,ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ONE-SOLID ARTICULATED INSTALLATION BODY,SHORT14-INSTALL-B,BUY,ACE Controls,1,1,AISI 316L / 316Ti stainless catalog assembly,,0.124,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html,https://www.acecontrols.com/us/calculations/gas-spring-configurator.html,; drawing-derived body end shoulder restored inside the controlled catalog envelope,"Configured GS-19-50-V4A-B8-B8, 50 mm stroke, 164.1 mm extended length, 7.9 mm rod and 300±30 N setting. The controlled ACE STEP ITEM_020_ACE_GS_19_50_V4A_B8_B8_VENDOR.stp is the dimensional/interface verification source; this separated body/rod BREP is a drawing-derived articulated installation representation. Occurrence mass allocation is 0.124 kg body + 0.020 kg rod = 0.144 kg catalog assembly total. The previously separated end-neck proxy topology is joined by a bounded end shoulder; catalog interfaces, overall envelope, fixed/moving orientation, stroke and allocated mass are unchanged.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE_Gas_Spring_Rod_GS-19-50-V4A-B8-B8,ACE GS-19 MOVING ROD ARTICULATION CHILD,R2-INSTALL,BUY,ACE Controls,1,1,AISI 316L / 316Ti stainless catalog assembly,,0.02,DRAWING_DERIVED,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html,https://www.acecontrols.com/us/calculations/gas-spring-configurator.html,,Included articulation child of the configured GS-19 purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.144 kg parent assembly. Drawing-derived child verified against the controlled ACE STEP.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
