connection_id,occurrence_id,mate_occurrence_id,connection_type,retaining_hardware,axial_retention,lateral_retention,anti_rotation,upstream_load_path,downstream_load_path,service_method,evidence,attachment_requirement_count_for_pair,endpoints_exist,status
TAB-LANYARD,MANUAL-PULL-TAB,MANUAL-PULL-LANYARD,CLOSED_WEBBING_EYE,BAR-TACKED EYE,POSITIVE,POSITIVE,DEFINED,MANUAL-PULL-TAB,MANUAL-PULL-LANYARD,CONTROLLED SERVICE PROCEDURE,Gloved-hand external pull interface,1,YES,CONNECTED
TAB-KEEPER,MANUAL-PULL-TAB,PULL-TAB-KEEPER,LOW_FORCE_BREAKAWAY_KEEPER,CALIBRATED HOOK-AND-LOOP,POSITIVE,POSITIVE,DEFINED,MANUAL-PULL-TAB,PULL-TAB-KEEPER,CONTROLLED SERVICE PROCEDURE,Visible external tab retained against snag,1,YES,CONNECTED
WATER-MESH-BOBBIN,WATER-ENTRY-MESH,HYDRO-1F-WATER-BOBBIN-V80040,DIRECT_OPEN_MESH_WATER_PATH,BOUND OPEN-MESH GUARD,POSITIVE,POSITIVE,DEFINED,WATER-ENTRY-MESH,HYDRO-1F-WATER-BOBBIN-V80040,CONTROLLED SERVICE PROCEDURE,Automatic element is exposed through the closed-pack water-entry window without requiring flap opening,1,YES,CONNECTED
INLET-BUOY-PANEL,BUOY-INLET-MANIFOLD,EXT-BUOY-PANEL-01,SEALED_REINFORCED_BUOY_INLET_PENETRATION,MULTI-PLY RF-WELDED PATCH,POSITIVE,POSITIVE,DEFINED,BUOY-INLET-MANIFOLD,EXT-BUOY-PANEL-01,CONTROLLED SERVICE PROCEDURE,Manifold passes through the controlled panel-one inlet and is sealed by the reinforcement patch,1,YES,CONNECTED
TETHER-HARDPOINT,TETHER-THIMBLE-BODY-SHORT14,RECOVERY-HARDPOINT-RING,DOUBLE_SHEAR_PINNED_EYE,RECOVERY-PIN-BODY-SHORT14 and retained clip,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BODY-SHORT14,RECOVERY-HARDPOINT-RING,CONTROLLED SERVICE PROCEDURE,Modeled structural recovery pin and thimble; proof load required,1,YES,CONNECTED
TETHER-ROPE-BODY,STRUCTURAL-RECOVERY-TETHER,TETHER-THIMBLE-BODY-SHORT14,BURIED_EYE_SPLICE,CAPTURED THIMBLE,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,TETHER-THIMBLE-BODY-SHORT14,CONTROLLED SERVICE PROCEDURE,Finished tether proof-load traveler,1,YES,CONNECTED
TETHER-ROPE-BUOY,STRUCTURAL-RECOVERY-TETHER,TETHER-THIMBLE-BUOY-SHORT14,BURIED_EYE_SPLICE,CAPTURED THIMBLE,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,TETHER-THIMBLE-BUOY-SHORT14,CONTROLLED SERVICE PROCEDURE,Buoy harness proof-load traveler,1,YES,CONNECTED
TETHER-CHAFE-SLEEVE,TETHER-EXIT-CHAFE-SLEEVE,TETHER-THIMBLE-BODY-SHORT14,CAPTURED_REPLACEABLE_CHAFE_SLEEVE,BOUND SLEEVE END,POSITIVE,POSITIVE,DEFINED,TETHER-EXIT-CHAFE-SLEEVE,TETHER-THIMBLE-BODY-SHORT14,CONTROLLED SERVICE PROCEDURE,Modeled sleeve is captured at the body eye and protects the line at the rounded shell exit,1,YES,CONNECTED
TETHER-BUOY-PANEL,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-01,MULTI-PLY_RF_PATCH_AND_HARNESS_JUNCTION,STRUCTURAL BUOY HARNESS,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-01,CONTROLLED SERVICE PROCEDURE,"Tether load enters reinforced buoy harness, not pack fabric",1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-02,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-02,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-02,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-03,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-03,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-03,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-04,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-04,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-04,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-05,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-05,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-05,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-06,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-06,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-06,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-07,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-07,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-07,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-BUOY-HARNESS-PANEL-08,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-08,MULTI_GORE_STRUCTURAL_HARNESS_JUNCTION,RF-WELDED MULTI-PLY HARNESS PATCH,POSITIVE,POSITIVE,DEFINED,TETHER-THIMBLE-BUOY-SHORT14,EXT-BUOY-PANEL-08,CONTROLLED SERVICE PROCEDURE,The structural buoy harness distributes tether load into every gore and bypasses the Cordura pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-01,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-01,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-01,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-02,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-02,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-02,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-03,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-03,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-03,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-04,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-04,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-04,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-05,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-05,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-05,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-06,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-06,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-06,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-07,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-07,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-07,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
TETHER-SPLICE-HARNESS-PANEL-08,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-08,BURIED_EYE_AT_MULTI_GORE_HARNESS,CAPTURED THIMBLE AND MULTI-PLY HARNESS,POSITIVE,POSITIVE,DEFINED,STRUCTURAL-RECOVERY-TETHER,EXT-BUOY-PANEL-08,CONTROLLED SERVICE PROCEDURE,Modeled eye-splice envelope enters the three-gore harness junction without loading the pack,1,YES,CONNECTED
RECOVERY-PIN-HARDPOINT,RECOVERY-PIN-BODY-SHORT14,RECOVERY-HARDPOINT-RING,DOUBLE_SHEAR_SHOULDER_PIN,EXTERNAL GROOVE RETAINER,POSITIVE,POSITIVE,DEFINED,RECOVERY-PIN-BODY-SHORT14,RECOVERY-HARDPOINT-RING,CONTROLLED SERVICE PROCEDURE,Modeled pin passes through hardpoint yoke and body thimble,1,YES,CONNECTED
