part_number,physical_title,quantity,material,finish,neutral_cad,dimensioned_drawing,datums_gdt_tolerances,threads_fits_edge_surface_notes,inspection_characteristics,drawing_to_cad_verification,fabrication_authority
DF8-SHORT14-BUOY-PANEL-08,60_L_BUOY_PANEL_08_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_LEFT,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_RIGHT,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-CORDURA-CRADLE-LEFT-001,AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_LEFT_PANEL_WITH_DRAINAGE_GAPS,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_RIGHT_PANEL_WITH_DRAINAGE_GAPS,1,1000D Cordura nylon with polyurethane coating,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-CROSSHEAD-001,ONE-PIECE_SIX-CLEVIS_GUIDED_COMMON_CROSSHEAD_WITHOUT_BOOLEAN_DEBRIS_SS,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-FIXED-SECTOR-001,SHORTENED_ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI,2,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-HOOK-STRIP-001,WET-RATED_HOOK_CLOSURE_STRIP,1,Nylon hook-and-loop,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-INFLATOR-GUARD-001,INFLATOR_IMPACT_GUARD_WITH_OPEN_WATER_PATH_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-LOOP-STRIP-001,WET-RATED_LOOP_CLOSURE_STRIP,1,Nylon hook-and-loop,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-MANUAL-PULL-LANYARD-001,MANUAL_INFLATOR_PULL_LANYARD_WITH_MODELED_SLACK_AND_FIRED_TRAVEL_HMPE,1,HMPE cord,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-MANUAL-PULL-TAB-001,GLOVED-HAND_MANUAL_PULL_TAB_WITH_SNAG-RETENTION_KEEPER_TPU,1,TPU overmold on HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,LOW-PROFILE_PACK_ATTACHMENT_COLLAR_WITHIN_57.15_MM_RIGID_LIMIT_TI,2,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,STRUCTURAL_PACK-RETENTION_WEBBING_STRAP_HMPE,2,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-EDGE-BAND-001,REINFORCED_PACK_EDGE_BINDING_HMPE,2,Cordura binding and HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-RADIAL-TIE-1-1,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-RADIAL-TIE-1-2,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_02,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-RADIAL-TIE-1-3,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_03,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-RADIAL-TIE-2-1,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_04,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-RADIAL-TIE-2-2,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_05,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PACK-RADIAL-TIE-2-3,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_06,1,HMPE webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,SOURCE-EXACT_DOUBLE-SHEAR_PIVOT_CARRIER_PRIMARY_LUG_TI,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,SOURCE-EXACT_DOUBLE-SHEAR_PIVOT_CARRIER_SECONDARY_LUG_TI,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-PULL-TAB-KEEPER-001,LOW-FORCE_PULL-TAB_SNAG_KEEPER,1,Cordura and low-force hook-and-loop,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-RECOVERY-HARDPOINT-RING-001,LOW-PROFILE_STRUCTURAL_RECOVERY_HARDPOINT_RING_WITH_DOUBLE-SHEAR_YOKE_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-STOW-DOG-GUIDE-001,SHORTENED-ARM_STOW-DOG_GUIDE_WITH_TERMINATION-RING_WELD_TONGUE_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-TETHER-EXIT-CHAFE-SLEEVE-001,STRUCTURAL_TETHER_EXIT_CHAFE_SLEEVE_TPU,1,TPU-coated HMPE tubular webbing,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-WATER-ENTRY-MESH-001,REINFORCED_OPEN-MESH_WATER-ENTRY_WINDOW_AND_DRAIN,1,Polyester open mesh with Cordura frame,Per controlled drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
