part_number,physical_title,material,finish,process_or_heat_treatment,environmental_compatibility,evidence,release_status
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_LEFT,1000D Cordura nylon with polyurethane coating,Per controlled drawing,Pattern cut; reinforced bound edges; peel-oriented hook-and-loop sewing; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",NOT RELEASED
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,CORDURA_PEEL-OPEN_BREAKAWAY_FLAP_RIGHT,1000D Cordura nylon with polyurethane coating,Per controlled drawing,Pattern cut; reinforced bound edges; peel-oriented hook-and-loop sewing; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Opened geometry remains attached to cradle; closure is peel-dominant, not full-area shear.",NOT RELEASED
DF8-SHORT14-CORDURA-CRADLE-LEFT-001,AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_LEFT_PANEL_WITH_DRAINAGE_GAPS,1000D Cordura nylon with polyurethane coating,Per controlled drawing,Pattern cut; bound radiused edges; controlled seam allowance and bar-tacks; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,NOT RELEASED
DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,AFT_BUOY_BREAKAWAY_WRAP_CORDURA_CRADLE_RIGHT_PANEL_WITH_DRAINAGE_GAPS,1000D Cordura nylon with polyurethane coating,Per controlled drawing,Pattern cut; bound radiused edges; controlled seam allowance and bar-tacks; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Two-panel closed-solid cradle retains the pack only; it is not in the ultimate recovery load path.,NOT RELEASED
DF8-SHORT14-CROSSHEAD-001,ONE-PIECE_SIX-CLEVIS_GUIDED_COMMON_CROSSHEAD_WITHOUT_BOOLEAN_DEBRIS_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,5-axis mill-turn from one billet; H900; hone; CMM inspect all six clevis interfaces,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Source interface datums retained; two sub-1 mm3 Boolean-debris solids removed and retained cheeks joined inside the source envelope.,NOT RELEASED
DF8-SHORT14-FIXED-SECTOR-001,SHORTENED_ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Hot form and 5-axis trim; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-HOOK-STRIP-001,WET-RATED_HOOK_CLOSURE_STRIP,Nylon hook-and-loop,Per controlled drawing,Sew to reinforced flap with peel-axis orientation; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-INFLATOR-GUARD-001,INFLATOR_IMPACT_GUARD_WITH_OPEN_WATER_PATH_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Wire form/machine; rounded edges; patch-mounted proof; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-LOOP-STRIP-001,WET-RATED_LOOP_CLOSURE_STRIP,Nylon hook-and-loop,Per controlled drawing,Sew to reinforced flap with bounded 16-degree overlap; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-MANUAL-PULL-LANYARD-001,MANUAL_INFLATOR_PULL_LANYARD_WITH_MODELED_SLACK_AND_FIRED_TRAVEL_HMPE,HMPE cord,"Chafe-protected, heat-sealed and clean",Eye splice; controlled finished length; 445 N pull proof; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Modeled slack 18.0 mm; required unobstructed fired travel 25.0 mm.,NOT RELEASED
DF8-SHORT14-MANUAL-PULL-TAB-001,GLOVED-HAND_MANUAL_PULL_TAB_WITH_SNAG-RETENTION_KEEPER_TPU,TPU overmold on HMPE webbing,"Chafe-protected, heat-sealed and clean",Overmold; high-visibility marking; gloved pull and snag test; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,LOW-PROFILE_PACK_ATTACHMENT_COLLAR_WITHIN_57.15_MM_RIGID_LIMIT_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Split-ring machine; qualified shell attachment; proof load pack retention; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,STRUCTURAL_PACK-RETENTION_WEBBING_STRAP_HMPE,HMPE webbing,"Chafe-protected, heat-sealed and clean",Closed-loop stitch; two-place collar lacing; pack retention proof; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Retains pack only and is excluded from the recovery load path.,NOT RELEASED
DF8-SHORT14-PACK-EDGE-BAND-001,REINFORCED_PACK_EDGE_BINDING_HMPE,Cordura binding and HMPE webbing,"Chafe-protected, heat-sealed and clean",Bound edge; continuous stitch and bar-tack termination; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-RADIAL-TIE-1-1,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE,HMPE webbing,"Chafe-protected, heat-sealed and clean",Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-RADIAL-TIE-1-2,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_02,HMPE webbing,"Chafe-protected, heat-sealed and clean",Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-RADIAL-TIE-1-3,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_03,HMPE webbing,"Chafe-protected, heat-sealed and clean",Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-RADIAL-TIE-2-1,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_04,HMPE webbing,"Chafe-protected, heat-sealed and clean",Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-RADIAL-TIE-2-2,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_05,HMPE webbing,"Chafe-protected, heat-sealed and clean",Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PACK-RADIAL-TIE-2-3,PACK_COLLAR-TO-CRADLE_RADIAL_WEBBING_TIE_HMPE_06,HMPE webbing,"Chafe-protected, heat-sealed and clean",Folded and bar-tacked around collar and cradle webbing; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,SOURCE-EXACT_DOUBLE-SHEAR_PIVOT_CARRIER_PRIMARY_LUG_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; ream pivot; machine stop-land bore; weld to transition-ring land; CMM inspect,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Exact source negative-Y lug and all source bores retained; no bridge material crosses the deployed-arm or stop-pad motion path.,NOT RELEASED
DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,SOURCE-EXACT_DOUBLE-SHEAR_PIVOT_CARRIER_SECONDARY_LUG_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; ream pivot; machine stop-land bore; weld to transition-ring land; CMM inspect,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Exact source positive-Y lug and all source bores retained; the two carrier lugs are structurally tied by the transition ring and retained pivot pin.,NOT RELEASED
DF8-SHORT14-PULL-TAB-KEEPER-001,LOW-FORCE_PULL-TAB_SNAG_KEEPER,Cordura and low-force hook-and-loop,Per controlled drawing,Bound frame; calibrated breakaway stitch; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-RECOVERY-HARDPOINT-RING-001,LOW-PROFILE_STRUCTURAL_RECOVERY_HARDPOINT_RING_WITH_DOUBLE-SHEAR_YOKE_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill from forged ring; ream yoke; weld to shell and three longerons; proof load; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Ultimate recovery load bypasses Cordura, hook-and-loop, pack seams and inflator patch.",NOT RELEASED
DF8-SHORT14-STOW-DOG-GUIDE-001,SHORTENED-ARM_STOW-DOG_GUIDE_WITH_TERMINATION-RING_WELD_TONGUE_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,5-axis mill; qualified permanent weld to termination-ring land,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-TETHER-EXIT-CHAFE-SLEEVE-001,STRUCTURAL_TETHER_EXIT_CHAFE_SLEEVE_TPU,TPU-coated HMPE tubular webbing,"Chafe-protected, heat-sealed and clean",Cut to controlled length; capture at body thimble; abrasion and wet-cycling proof; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Replaceable sleeve guards the HMPE line at the rounded shell exit; it does not carry the ultimate recovery load.,NOT RELEASED
DF8-SHORT14-WATER-ENTRY-MESH-001,REINFORCED_OPEN-MESH_WATER-ENTRY_WINDOW_AND_DRAIN,Polyester open mesh with Cordura frame,Per controlled drawing,Laser cut frame; bind mesh; stitch to window perimeter; Heat/lot CoC; drawing tolerances; deburr; clean; final dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Direct open area exposes the automatic water-sensitive element while the wrap remains closed.,NOT RELEASED
GS-19-50-V4A-B8-B8,ACE_Gas_Spring_GS-19-50-V4A-B8-B8,AISI 316L / 316Ti stainless catalog assembly,,; drawing-derived body end shoulder restored inside the controlled catalog envelope,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Configured GS-19-50-V4A-B8-B8, 50 mm stroke, 164.1 mm extended length, 7.9 mm rod and 300±30 N setting. The controlled ACE STEP ITEM_020_ACE_GS_19_50_V4A_B8_B8_VENDOR.stp is the dimensional/interface verification source; this separated body/rod BREP is a drawing-derived articulated installation representation. Occurrence mass allocation is 0.124 kg body + 0.020 kg rod = 0.144 kg catalog assembly total. The previously separated end-neck proxy topology is joined by a bounded end shoulder; catalog interfaces, overall envelope, fixed/moving orientation, stroke and allocated mass are unchanged.",NOT RELEASED
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE_Gas_Spring_Rod_GS-19-50-V4A-B8-B8,AISI 316L / 316Ti stainless catalog assembly,,,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Included articulation child of the configured GS-19 purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.144 kg parent assembly. Drawing-derived child verified against the controlled ACE STEP.,NOT RELEASED
HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,Nordson_HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,Acetal and stainless commercial inflator assembly,,Incoming identity and interface inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Commercial interfaces and external service envelope preserved; internals are not invented. Exact vendor CAD and buoy-volume compatibility remain physical acceptance gates.,NOT RELEASED
HBD-15-25-AA-P,ACE_Hydraulic_Damper_HBD-15-25-AA-P,Black-anodized aluminum body / hard-chrome steel rod / zinc-plated steel AA-P fittings,,; drawing-derived body end shoulder restored inside the controlled catalog envelope,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Configured HBD-15-25-AA-P, 24.9 mm stroke, 145.0 mm extended length, 15 mm body and 6.1 mm rod. The controlled ACE source ACE_HBD_15_25_AA_P_DRAWING_DERIVED_NOT_VENDOR_CAD_AP242.step verifies the configured envelope/interfaces; this separated body/rod BREP is a drawing-derived articulated installation representation. External travel stops limit motion 1.0-1.5 mm before stroke ends. Occurrence mass allocation is 0.190 kg body + 0.030 kg rod = 0.220 kg catalog assembly total. The previously separated end-neck proxy topology is joined by a bounded end shoulder; catalog interfaces, overall envelope, fixed/moving orientation, stroke and allocated mass are unchanged.",NOT RELEASED
HBD-15-25-AA-P-ROD-CHILD,ACE_Hydraulic_Damper_Rod_HBD-15-25-AA-P,Hard-chrome steel rod with zinc-plated steel AA-P fitting,,,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Included articulation child of the configured HBD purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.220 kg parent assembly. Drawing-derived child verified against the controlled ACE source.,NOT RELEASED
HDP-3-8-A1,Accu_HDP-3-8-A1,316 stainless steel,Natural stainless; passivate after acceptance if required by drawing,"Accu catalog DIN 7 precision pin; incoming CoC, diameter and straightness inspection",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 47 g per 100; diameter tolerance +0.002/+0.008 mm and 0.45 mm radius length.,NOT RELEASED
HTP-3-30-A1,Accu_HTP-3-30-A1,316 stainless steel,Natural stainless; passivate after acceptance if required by drawing,Accu catalog DIN 1B taper pin; incoming CoC and blue-fit inspection in the occurrence-matched reamed bore,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Official Accu product identity and nominal dimensions verified 2026-08-22; Nominal 3.0 mm small diameter, 3.6 mm large diameter and 30 mm length; mass from exact nominal B-rep at 7.90 g/cm3.",NOT RELEASED
LELAND-81121,Leland_CO2_Cartridge_81121,Steel pressure cartridge,,,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Incoming acceptance: 12 g CO2, 0.735 in body diameter, 3.250 in overall length, 3/8-24 neck, lot traceability and CoC; occurrence-matched puncture-head thread and pre-puncture clearance are inspected.",NOT RELEASED
ROTOR-CLIP-DC-4SS,Rotor_Clip_Retaining_Ring_DC-4SS,PH 15-7 Mo stainless spring steel,,"Catalog DC-4SS crescent ring; verify 4 mm shaft application, 3.13-3.20 mm groove diameter, 0.44 mm groove width, 0.35-0.40 mm ring thickness, 5 mm OD and material certification",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Explicit occurrence mass is the 3.7479745 mm3 authored envelope at 7.85e-6 kg/mm3; incoming lot mass and material are verified.,NOT RELEASED
SSCA-M3-8-A4-BL,Accu_SSCA-M3-8-A4-BL,A4-80 stainless steel,Matte-black A4 stainless; verify coating compatibility for submerged service,"Accu catalog captive fastener; incoming CoC, captive-neck and dimensional inspection",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 80 g per 100; 2.2 mm captive diameter x 5 mm captive length and 3 mm M3 threaded end.,NOT RELEASED
SSCF-M3-10-A4,Accu_SSCF-M3-10-A4,A4-80 stainless steel,Natural A4 stainless; clean for submerged service,Accu catalog cold-formed/rolled-thread fastener; incoming CoC and dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 88 g per 100; M3 x 0.5, 5.5 mm head diameter, 3.0 mm head height.",NOT RELEASED
SSCL-M4-8-A4,Accu_SSCL-M4-8-A4,A4-80 stainless steel,Natural A4 stainless; clean for submerged service,Accu catalog DIN 7984 fastener; incoming CoC and dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 112 g per 100; M4 x 0.7, 7.0 mm head diameter, 2.8 mm head height.",NOT RELEASED
V80040,Halkey_Roberts_Water_Bobbin_V80040,Water-sensitive media,,,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Exact V80040 identity; controlled incoming inspection verifies the 10 mm diameter by 18 mm modeled service envelope, lot traceability, and current Nordson/Halkey-Roberts IFU revision.",NOT RELEASED
